,Date,open,high,low,volume,RealPrice,PredictPrice
0,2019-01-02,4.73,4.75,4.65,90969.0,4.68,4.684778548073504
1,2019-01-03,4.67,4.93,4.66,187582.0,4.8,4.832081226097821
2,2019-01-04,4.75,5.28,4.75,786854.0,5.28,5.088173017576514
3,2019-01-07,5.25,5.31,5.14,645692.0,5.18,5.205675130885542
4,2019-01-08,5.16,5.33,5.07,499181.0,5.22,5.199299743130641
5,2019-01-09,5.17,5.33,5.16,387538.0,5.18,5.2718966391648845
6,2019-01-10,5.18,5.22,5.09,259228.0,5.11,5.138895040567131
7,2019-01-11,5.11,5.18,5.09,182792.0,5.14,5.147421823028105
8,2019-01-14,5.17,5.19,5.09,144182.0,5.12,5.124794956627833
9,2019-01-15,5.1,5.28,5.1,330674.0,5.22,5.2224882775589885
10,2019-01-16,5.21,5.22,5.12,172682.0,5.14,5.150168008392762
11,2019-01-17,5.15,5.22,5.09,166132.0,5.11,5.152685848076735
12,2019-01-18,5.11,5.19,5.1,149058.0,5.14,5.1619993650876115
13,2019-01-21,5.15,5.18,5.08,185044.0,5.11,5.1197609569950755
14,2019-01-22,5.09,5.12,5.04,113758.0,5.04,5.076749550157112
15,2019-01-23,5.04,5.09,5.02,80557.0,5.05,5.064763707855597
16,2019-01-24,5.06,5.16,5.05,204064.0,5.12,5.124487668809364
17,2019-01-25,5.1,5.12,5.05,133513.0,5.05,5.080752831037636
18,2019-01-28,5.09,5.13,5.03,138252.0,5.04,5.074306941972273
19,2019-01-29,5.04,5.04,4.79,170919.0,4.89,4.8356505409077775
20,2019-01-30,4.84,4.9,4.82,72207.0,4.84,4.870927102139497
21,2019-01-31,4.84,4.92,4.82,111047.0,4.87,4.883305014535334
22,2019-02-01,4.91,5.02,4.91,121980.0,5.02,4.988906950906962
23,2019-02-11,5.02,5.1,4.99,107873.0,5.1,5.054528468166745
24,2019-02-12,5.09,5.17,5.08,147385.0,5.12,5.142002388103518
25,2019-02-13,5.13,5.41,5.1,467605.0,5.3,5.288099587103624
26,2019-02-14,5.28,5.35,5.25,284555.0,5.29,5.309181328279971
27,2019-02-15,5.28,5.36,5.23,248211.0,5.24,5.297774060864465
28,2019-02-18,5.29,5.55,5.28,447170.0,5.49,5.453037277856613
29,2019-02-19,5.5,5.7,5.46,529294.0,5.55,5.600815278152441
30,2019-02-20,5.55,5.65,5.48,297732.0,5.56,5.562736588608713
31,2019-02-21,5.52,5.77,5.49,534635.0,5.55,5.6599420718863085
32,2019-02-22,5.56,6.11,5.54,1079332.0,6.11,5.894053461116515
33,2019-02-25,6.35,6.72,6.22,1393614.0,6.72,6.480324419094855
34,2019-02-26,6.83,7.15,6.51,1605503.0,6.54,6.766178764892539
35,2019-02-27,6.53,6.82,6.46,1020277.0,6.63,6.661551133802088
36,2019-02-28,6.51,6.58,6.25,678725.0,6.37,6.3413516871097535
37,2019-03-01,6.42,6.64,6.34,691824.0,6.56,6.498661472043175
38,2019-03-04,6.65,7.07,6.46,1146472.0,6.68,6.757414123371016
39,2019-03-05,6.51,6.73,6.5,565687.0,6.7,6.648572818019321
40,2019-03-06,6.71,7.37,6.68,1784353.0,7.37,7.10529816156647
41,2019-03-07,7.65,8.06,7.4,2053790.0,7.7,7.703391432022983
42,2019-03-08,7.2,7.55,6.93,1425176.0,6.93,7.1966135974496686
43,2019-03-11,6.88,7.18,6.7,943877.0,7.16,6.92182571926229
44,2019-03-12,7.28,7.48,7.14,958673.0,7.27,7.295391616928584
45,2019-03-13,7.3,7.41,7.0,753257.0,7.11,7.121009406399469
46,2019-03-14,7.03,7.15,6.6,680504.0,6.72,6.744343819342593
47,2019-03-15,6.8,6.96,6.7,484590.0,6.8,6.823536809847523
48,2019-03-18,6.8,6.96,6.67,479711.0,6.95,6.797540533686475
49,2019-03-19,6.96,7.05,6.88,385755.0,6.94,6.957624222488328
50,2019-03-20,6.91,7.13,6.88,593746.0,7.08,7.031170650045799
51,2019-03-21,7.08,7.34,7.01,822218.0,7.18,7.191962135003986
52,2019-03-22,7.12,7.2,6.93,481566.0,7.11,7.016696507693773
53,2019-03-25,6.94,7.05,6.8,416759.0,6.81,6.898030773377138
54,2019-03-26,6.85,6.91,6.61,375995.0,6.67,6.690850278495952
55,2019-03-27,6.74,6.79,6.61,301100.0,6.71,6.669673371251043
56,2019-03-28,6.7,6.86,6.6,327963.0,6.67,6.722802663664451
57,2019-03-29,6.69,7.16,6.69,815157.0,7.15,6.99065782157693
58,2019-04-01,7.18,7.47,7.08,877192.0,7.31,7.284483389176105
59,2019-04-02,7.35,7.5,7.23,653149.0,7.28,7.350667779115675
60,2019-04-03,7.19,7.67,7.16,979883.0,7.61,7.471322537542153
61,2019-04-04,7.65,7.98,7.52,1101869.0,7.83,7.753740736030952
62,2019-04-08,7.89,7.89,7.31,1046183.0,7.49,7.402750408887825
63,2019-04-09,7.45,7.6,7.3,576190.0,7.46,7.4242498486251876
64,2019-04-10,7.48,7.54,7.24,615816.0,7.42,7.321700696285041
65,2019-04-11,7.41,7.42,7.18,422798.0,7.22,7.228968559816933
66,2019-04-12,7.2,7.37,7.19,401531.0,7.35,7.306893178848486
67,2019-04-15,7.5,7.54,7.17,479452.0,7.18,7.250903597453587
68,2019-04-16,7.1,7.35,7.02,468350.0,7.34,7.195414318185044
69,2019-04-17,7.29,7.44,7.27,347449.0,7.33,7.375729382703121
70,2019-04-18,7.34,7.38,7.24,239506.0,7.26,7.288898570613567
71,2019-04-19,7.31,7.38,7.21,261943.0,7.34,7.277301619634572
72,2019-04-22,7.43,7.46,7.11,333538.0,7.15,7.182772765992145
73,2019-04-23,7.11,7.31,6.95,423003.0,7.08,7.105467686826383
74,2019-04-24,7.08,7.16,7.02,218652.0,7.12,7.087934477648826
75,2019-04-25,7.1,7.23,6.82,367882.0,6.84,6.948672683612841
76,2019-04-26,6.82,6.98,6.75,294157.0,6.86,6.868534573724924
77,2019-04-29,6.85,6.9,6.44,419948.0,6.5,6.537809075472983
78,2019-04-30,6.5,6.73,6.48,296021.0,6.67,6.634649372959434
79,2019-05-06,6.46,6.56,6.03,477781.0,6.12,6.161464818482305
80,2019-05-07,6.16,6.32,6.07,351605.0,6.27,6.191889247022299
81,2019-05-08,6.12,6.35,6.1,262808.0,6.22,6.25469960378554
82,2019-05-09,6.17,6.32,6.16,240983.0,6.2,6.264491302812575
83,2019-05-10,6.28,6.51,6.2,374709.0,6.45,6.363230049103666
84,2019-05-13,6.38,6.41,6.32,176800.0,6.35,6.357670620448988
85,2019-05-14,6.21,6.39,6.21,195663.0,6.23,6.331168967454068
86,2019-05-15,6.3,6.35,6.24,219632.0,6.31,6.290114617889318
87,2019-05-16,6.32,6.35,6.25,188692.0,6.31,6.2891079449299845
88,2019-05-17,6.33,6.34,5.98,293342.0,6.03,6.045047656994692
89,2019-05-20,6.01,6.19,5.99,201350.0,6.1,6.113998071831726
90,2019-05-21,6.11,6.26,6.07,193746.0,6.21,6.178315398215842
91,2019-05-22,6.22,6.24,6.07,136213.0,6.13,6.11355165747388
92,2019-05-23,6.12,6.23,6.05,179020.0,6.12,6.137900361264602
93,2019-05-24,6.13,6.18,6.08,123091.0,6.11,6.128381502692311
94,2019-05-27,6.13,6.35,6.08,249391.0,6.31,6.232563626156858
95,2019-05-28,6.3,6.34,6.21,205284.0,6.27,6.257979674200572
96,2019-05-29,6.22,6.35,6.22,180415.0,6.28,6.310632097302235
97,2019-05-30,6.28,6.28,6.15,128632.0,6.21,6.178611696277297
98,2019-05-31,6.21,6.27,6.16,106616.0,6.16,6.2143431478939695
99,2019-06-03,6.18,6.31,6.13,183058.0,6.15,6.227382377020945
100,2019-06-04,6.15,6.2,6.06,138704.0,6.09,6.11382010127431
101,2019-06-05,6.16,6.23,6.12,153423.0,6.13,6.1793564086982835
102,2019-06-06,6.13,6.19,6.07,173209.0,6.08,6.126068388717673
103,2019-06-10,6.08,6.09,5.82,249449.0,5.95,5.872884168257353
104,2019-06-11,5.96,6.34,5.93,414798.0,6.3,6.178264540993958
105,2019-06-12,6.28,6.36,6.25,247078.0,6.26,6.314508861173958
106,2019-06-13,6.25,6.44,6.23,305601.0,6.37,6.360477999636994
107,2019-06-14,6.35,6.35,6.11,326263.0,6.14,6.15434100660043
108,2019-06-17,6.17,6.22,6.13,154126.0,6.18,6.177172593116659
109,2019-06-18,6.19,6.22,6.1,131403.0,6.16,6.141578619831839
110,2019-06-19,6.5,6.58,6.23,339373.0,6.25,6.3270760748030614
111,2019-06-20,6.25,6.74,6.25,618499.0,6.57,6.5620981245088785
112,2019-06-21,6.62,6.72,6.54,425592.0,6.61,6.62411148020181
113,2019-06-24,6.7,6.73,6.55,236420.0,6.59,6.5998734155373056
114,2019-06-25,6.58,6.71,6.47,359397.0,6.67,6.576100735273742
115,2019-06-26,6.52,6.58,6.48,219707.0,6.51,6.533393969495087
116,2019-06-27,6.52,6.69,6.52,267905.0,6.58,6.635265332123704
117,2019-06-28,6.54,6.6,6.48,168887.0,6.54,6.535811253288857
118,2019-07-01,6.71,6.74,6.65,315470.0,6.68,6.688182024607985
119,2019-07-02,6.66,6.69,6.6,163379.0,6.62,6.637442107343285
