,Date,open,high,low,volume,RealPrice,PredictPrice
0,2019-01-02,32.81,33.34,31.8,15425.0,31.99,32.549635829674315
1,2019-01-03,31.86,32.1,29.98,30124.0,31.18,30.72833509156854
2,2019-01-04,30.8,32.66,30.01,32325.0,32.58,31.759730910952047
3,2019-01-07,32.37,32.63,31.86,22017.0,32.2,32.092839330098315
4,2019-01-08,32.2,33.25,31.61,23174.0,32.85,32.59170456623391
5,2019-01-09,32.62,34.5,32.62,22247.0,33.88,34.103588341565825
6,2019-01-10,33.88,33.9,33.17,10069.0,33.5,33.353325015235704
7,2019-01-11,33.2,33.87,32.79,11207.0,33.54,33.436984390855216
8,2019-01-14,33.65,34.4,33.12,11807.0,34.14,33.87965410422632
9,2019-01-15,34.0,34.42,33.71,18717.0,33.9,33.995721143413434
10,2019-01-16,33.94,37.28,33.94,32367.0,34.59,36.644522231448946
11,2019-01-17,34.75,36.28,34.75,29769.0,35.5,35.81139784958651
12,2019-01-18,35.68,36.56,35.16,22317.0,35.77,35.90632680456156
13,2019-01-21,36.0,37.18,35.6,25928.0,36.73,36.53026993283617
14,2019-01-22,36.73,36.73,35.58,14531.0,35.98,35.85023860173207
15,2019-01-23,35.5,37.14,35.5,13912.0,36.19,36.7918051177805
16,2019-01-24,37.35,37.8,36.55,23787.0,37.13,36.98518159473925
17,2019-01-25,37.08,40.08,37.08,40696.0,39.18,39.34761069990306
18,2019-01-28,39.47,39.47,38.2,29259.0,38.64,38.345409744600914
19,2019-01-29,38.69,38.85,37.8,23757.0,38.63,37.98783826652133
20,2019-01-30,38.85,38.85,37.48,19609.0,37.65,37.76585163899402
21,2019-01-31,37.69,38.11,37.2,17825.0,37.57,37.52034430013889
22,2019-02-01,36.16,37.71,36.12,27622.0,37.3,37.213198732497496
23,2019-02-11,37.47,38.36,37.16,17852.0,37.86,37.83439747775996
24,2019-02-12,37.8,39.42,37.37,20325.0,38.05,38.73589423795727
25,2019-02-13,38.4,38.6,37.73,13221.0,38.3,37.95762911570572
26,2019-02-14,38.65,38.65,37.34,17137.0,38.1,37.62512690905393
27,2019-02-15,38.0,38.0,37.0,15516.0,37.52,37.1750235664578
